food,Caloric Value,Fat,Saturated Fats,Sugars,Sodium
cream cheese,51,5.0,2.9,0.5,0.016
neufchatel cheese,215,19.4,10.9,2.7,0.3
requeijao cremoso light catupiry,49,3.6,2.3,3.4,0.0
ricotta cheese,30,2.0,1.3,0.091,0.017
cream cheese low fat,30,2.3,1.4,0.9,0.046
cream cheese fat free,19,0.2,0.1,1.0,0.1
gruyere cheese,116,9.1,5.3,0.1,0.2
cheddar cheese,113,9.3,5.3,0.1,0.2
parmesan cheese,71,4.5,2.7,0.046,0.2
romano cheese,19,1.3,0.9,0.088,0.008
parmesan cheese grated,21,1.4,0.8,0.075,0.043
port salut cheese,465,37.2,22.0,0.8,0.7
swiss cheese,98,7.7,4.6,0.0,0.057
goat cheese hard,128,10.1,7.0,0.6,0.076
gouda cheese,100,7.7,4.9,0.6,0.2
pepper jack cheese lucerne,75,6.0,4.0,0.0,0.0
caraway cheese,106,8.3,5.3,0.0,0.2
gjetost cheese,1058,67.0,43.5,0.0,1.4
tilsit cheese,136,10.4,6.7,0.0,0.3
goat cheese,103,8.4,5.8,0.031,0.1
brick cheese,111,8.9,5.6,0.2,0.2
asadero cheese,402,31.9,20.3,3.2,0.7
camembert cheese,90,7.3,4.6,0.1,0.3
provolone cheese reduced fat,310,19.9,12.8,0.6,1.0
roquefort cheese,314,26.0,16.4,0.0,1.5
queso blanco cheese,366,28.7,16.1,2.1,0.8
queso seco cheese,315,23.6,13.3,0.5,1.8
goat cheese soft,75,6.0,4.1,0.3,0.1
mozzarella cheese,90,6.6,4.2,0.0,0.1
chihuahua cheese,494,39.2,24.9,7.3,0.8
limburger cheese,98,8.2,5.0,0.1,0.2
muenster cheese,486,39.7,25.2,1.5,0.8
queso fresco cheese,365,29.1,15.8,2.8,0.9
brie cheese,100,8.3,5.2,0.1,0.2
pimento cheese,525,43.7,27.5,0.9,2.0
mexican cheese,316,21.7,13.0,0.6,0.9
feta cheese,80,6.4,4.0,0.0,0.3
mozzarella cheese fat free,159,0.0,0.0,1.7,0.8
provolone cheese,463,35.1,22.5,0.7,1.2
anejo cheese,492,39.6,25.1,6.1,1.5
honey,64,0.0,0.0,17.2,0.011
apple butter,35,0.063,0.038,7.1,0.003
fruit jam,56,0.095,0.021,9.7,0.052
chocolate hazelnut spread,100,5.5,5.3,10.0,0.099
peanut butter,88,7.4,1.4,1.0,0.085
peanut spread,101,8.5,1.6,0.5,0.028
chicken spread,88,9.8,1.8,0.3,0.4
cheese spread,708,68.6,43.2,8.4,1.2
tahini,86,7.2,1.0,0.0,0.098
orange marmalade,49,0.0,0.0,12.0,0.016
american cheese spread,46,3.4,2.1,1.2,0.3
apricot jam,48,0.01,0.042,8.7,0.004
